Period (s),PositionError (mm)
0.090112,-0.000005
0.090624,-0.000005
0.091136,-0.000005
0.091648,-0.000005
0.092160,-0.000005
0.092672,-0.000005
0.093184,-0.000005
0.093696,-0.000005
0.094208,0.000000
0.094720,0.000000
0.095232,0.000000
0.095744,0.000005
0.096256,0.000005
0.096768,0.000000
0.097280,-0.000005
0.097792,-0.000005
0.098304,-0.000005
0.098816,0.000000
0.099328,0.000005
0.099840,0.000000
0.100352,-0.000005
0.100864,-0.000010
0.101376,-0.000010
0.101888,-0.000005
0.102400,0.000000
0.102912,0.000005
0.103424,0.000005
0.103936,-0.000005
0.104448,-0.000005
0.104960,-0.000010
0.105472,-0.000005
0.105984,-0.000005
0.106496,0.000000
0.107008,0.000000
0.107520,-0.000005
0.108032,-0.000005
0.108544,-0.000005
0.109056,-0.000005
0.109568,-0.000010
0.110080,-0.000005
0.110592,0.000000
0.111104,0.000000
0.111616,0.000000
0.112128,0.000000
0.112640,-0.000005
0.113152,-0.000005
0.113664,-0.000005
0.114176,-0.000005
0.114688,0.000000
0.115200,0.000005
0.115712,0.000005
0.116224,0.000000
0.116736,-0.000005
0.117248,-0.000005
0.117760,0.000000
0.118272,0.000005
0.118784,0.000010
0.119296,0.000010
0.119808,0.000005
0.120320,0.000005
0.120832,0.000000
0.121344,0.000000
0.121856,0.000000
0.122368,0.000000
0.122880,0.000000
0.123392,0.000000
0.123904,0.000000
0.124416,0.000000
0.124928,0.000000
0.125440,0.000000
0.125952,0.000000
0.126464,0.000005
0.126976,0.000005
0.127488,0.000005
0.128000,0.000005
0.128512,0.000005
0.129024,-0.000005
0.129536,-0.000005
0.130048,-0.000005
0.130560,0.000000
0.131072,0.000000
0.131584,0.000000
0.132096,0.000000
0.132608,0.000000
0.133120,0.000000
0.133632,0.000000
0.134144,0.000000
0.134656,0.000000
0.135168,0.000005
0.135680,0.000005
0.136192,-0.000005
0.136704,-0.000010
0.137216,-0.000005
0.137728,0.000000
0.138240,0.000010
0.138752,0.000010
0.139264,0.000010
0.139776,0.000005
0.140288,0.000000
0.140800,0.000000
0.141312,0.000000
0.141824,0.000000
0.142336,0.000000
0.142848,0.000005
0.143360,0.000005
0.143872,0.000005
0.144384,0.000005
0.144896,0.000005
0.145408,0.000005
0.145920,0.000000
0.146432,0.000000
0.146944,0.000000
0.147456,0.000000
0.147968,0.000005
0.148480,0.000000
0.148992,0.000000
0.149504,0.000000
0.150016,0.000000
0.150528,0.000000
0.151040,0.000005
0.151552,0.000005
0.152064,0.000005
0.152576,-0.000005
0.153088,-0.000005
0.153600,0.000000
0.154112,0.000005
0.154624,0.000010
0.155136,0.000010
0.155648,0.000005
0.156160,0.000000
0.156672,-0.000005
0.157184,-0.000005
0.157696,0.000000
0.158208,0.000000
0.158720,0.000000
0.159232,0.000000
0.159744,-0.000005
0.160256,-0.000005
0.160768,-0.000005
0.161280,0.000000
0.161792,0.000000
0.162304,0.000000
0.162816,0.000000
0.163328,0.000000
0.163840,-0.000005
0.164352,-0.000005
0.164864,-0.000005
0.165376,0.000000
0.165888,0.000000
0.166400,-0.000005
0.166912,-0.000005
0.167424,-0.000005
0.167936,-0.000005
0.168448,0.000000
0.168960,0.000000
0.169472,-0.000005
0.169984,-0.000005
0.170496,-0.000005
0.171008,-0.000005
0.171520,-0.000010
0.172032,-0.000010
0.172544,-0.000010
0.173056,-0.000005
0.173568,-0.000005
0.174080,-0.000005
0.174592,-0.000005
0.175104,-0.000005
0.175616,-0.000005
0.176128,-0.000005
0.176640,0.000000
0.177152,0.000000
0.177664,0.000000
0.178176,-0.000010
0.178688,-0.000010
0.179200,-0.000015
0.179712,-0.000015
0.180224,-0.000010
0.180736,-0.000005
0.181248,-0.000005
0.181760,-0.000005
0.182272,-0.000005
0.182784,-0.000005
0.183296,-0.000005
0.183808,0.000000
0.184320,0.000000
0.184832,0.000000
0.185344,0.000000
0.185856,0.000000
0.186368,0.000000
0.186880,-0.000005
0.187392,-0.000005
0.187904,-0.000005
0.188416,-0.000005
0.188928,-0.000005
0.189440,0.000005
0.189952,0.000010
0.190464,0.000005
0.190976,0.000000
0.191488,-0.000005
0.192000,-0.000005
0.192512,0.000000
0.193024,0.000005
0.193536,0.000000
0.194048,0.000000
0.194560,0.000000
0.195072,0.000005
0.195584,0.000000
0.196096,0.000000
0.196608,0.000000
0.197120,0.000000
0.197632,0.000000
0.198144,-0.000005
0.198656,-0.000005
0.199168,-0.000005
0.199680,-0.000005
0.200192,0.000005
0.200704,0.000005
0.201216,0.000000
0.201728,-0.000005
0.202240,-0.000005
0.202752,-0.000005
0.203264,-0.000010
0.203776,-0.000005
0.204288,-0.000005
0.204800,-0.000005
0.205312,-0.000005
0.205824,0.000000
0.206336,0.000000
0.206848,-0.000005
0.207360,-0.000005
0.207872,-0.000005
0.208384,-0.000005
0.208896,0.000000
0.209408,0.000000
0.209920,0.000000
0.210432,0.000000
0.210944,-0.000005
0.211456,-0.000010
0.211968,-0.000010
0.212480,-0.000005
0.212992,0.000005
0.213504,0.000010
0.214016,0.000005
0.214528,-0.000005
0.215040,-0.000005
0.215552,0.000000
0.216064,0.000005
0.216576,0.000005
0.217088,0.000005
0.217600,0.000005
0.218112,0.000005
0.218624,0.000000
0.219136,0.000000
0.219648,0.000000
0.220160,0.000005
0.220672,0.000010
0.221184,0.000005
0.221696,0.000005
0.222208,0.000005
0.222720,0.000005
0.223232,0.000005
0.223744,0.000005
0.224256,0.000005
0.224768,0.000005
0.225280,0.000015
0.225792,0.000010
0.226304,0.000015
0.226816,0.000015
0.227328,0.000010
0.227840,0.000010
0.228352,0.000010
0.228864,0.000010
0.229376,0.000010
0.229888,0.000010
0.230400,0.000010
0.230912,0.000010
0.231424,0.000005
0.231936,0.000005
0.232448,-0.000005
0.232960,-0.000005
0.233472,0.000000
0.233984,0.000005
0.234496,0.000005
0.235008,0.000000
0.235520,0.000000
0.236032,0.000000
0.236544,0.000000
0.237056,0.000000
0.237568,0.000000
0.238080,0.000000
0.238592,0.000000
0.239104,0.000000
0.239616,0.000000
0.240128,-0.000010
0.240640,-0.000010
0.241152,-0.000005
0.241664,0.000005
0.242176,0.000005
0.242688,0.000005
0.243200,0.000000
0.243712,0.000000
0.244224,-0.000005
0.244736,-0.000005
0.245248,0.000000
0.245760,0.000000
0.246272,0.000005
0.246784,0.000000
0.247296,0.000000
0.247808,0.000000
0.248320,0.000000
0.248832,-0.000005
0.249344,-0.000005
0.249856,0.000000
0.250368,0.000005
0.250880,0.000005
0.251392,0.000005
0.251904,0.000000
0.252416,-0.000010
0.252928,-0.000010
0.253440,0.000000
0.253952,0.000005
0.254464,0.000010
0.254976,0.000010
0.255488,0.000005
0.256000,-0.000005
0.256512,-0.000005
0.257024,-0.000010
0.257536,0.000000
0.258048,0.000005
0.258560,0.000005
0.259072,0.000005
0.259584,-0.000005
0.260096,-0.000010
0.260608,-0.000005
0.261120,0.000000
0.261632,0.000000
0.262144,0.000005
0.262656,0.000000
0.263168,-0.000005
0.263680,-0.000010
0.264192,-0.000010
0.264704,-0.000010
0.265216,0.000000
0.265728,0.000010
0.266240,0.000010
0.266752,0.000000
0.267264,-0.000005
0.267776,-0.000010
0.268288,-0.000005
0.268800,-0.000005
0.269312,0.000000
0.269824,0.000005
0.270336,0.000005
0.270848,-0.000005
0.271360,-0.000005
0.271872,-0.000005
0.272384,-0.000005
0.272896,-0.000005
0.273408,0.000005
0.273920,0.000005
0.274432,0.000000
0.274944,0.000000
0.275456,0.000000
0.275968,-0.000005
0.276480,-0.000005
0.276992,-0.000005
0.277504,0.000005
0.278016,0.000005
0.278528,0.000005
0.279040,0.000000
0.279552,-0.000005
0.280064,-0.000005
0.280576,0.000000
0.281088,0.000005
0.281600,0.000005
0.282112,0.000005
0.282624,0.000000
0.283136,-0.000005
0.283648,-0.000005
0.284160,0.000000
0.284672,0.000000
0.285184,0.000000
0.285696,0.000000
0.286208,0.000000
0.286720,-0.000005
0.287232,-0.000005
0.287744,-0.000005
0.288256,-0.000005
0.288768,-0.000005
0.289280,0.000000
0.289792,0.000000
0.290304,0.000000
0.290816,0.000000
0.291328,-0.000010
0.291840,-0.000010
0.292352,-0.000010
0.292864,-0.000005
0.293376,-0.000005
0.293888,-0.000005
0.294400,0.000000
0.294912,0.000000
0.295424,-0.000005
0.295936,-0.000010
0.296448,-0.000010
0.296960,-0.000010
0.297472,0.000000
0.297984,0.000005
0.298496,0.000005
0.299008,0.000000
0.299520,-0.000010
0.300032,-0.000010
0.300544,-0.000010
0.301056,0.000000
0.301568,0.000005
0.302080,0.000005
0.302592,0.000005
0.303104,-0.000005
0.303616,-0.000010
0.304128,-0.000005
0.304640,0.000000
0.305152,0.000000
0.305664,0.000005
0.306176,0.000005
0.306688,-0.000005
0.307200,-0.000010
0.307712,-0.000010
0.308224,-0.000005
0.308736,0.000005
0.309248,0.000005
0.309760,0.000005
0.310272,0.000000
0.310784,-0.000005
0.311296,-0.000005
0.311808,-0.000005
0.312320,0.000000
0.312832,0.000000
0.313344,0.000005
0.313856,0.000000
0.314368,-0.000005
0.314880,-0.000010
0.315392,-0.000010
0.315904,0.000000
0.316416,0.000005
0.316928,0.000005
0.317440,0.000010
0.317952,0.000000
0.318464,0.000000
0.318976,0.000000
0.319488,-0.000005
0.320000,-0.000005
0.320512,-0.000005
0.321024,-0.000005
0.321536,0.000000
0.322048,0.000005
0.322560,0.000005
0.323072,0.000000
0.323584,-0.000010
0.324096,-0.000010
0.324608,0.000000
0.325120,0.000005
0.325632,0.000005
0.326144,0.000005
0.326656,0.000005
0.327168,0.000000
0.327680,-0.000005
0.328192,-0.000010
0.328704,-0.000005
0.329216,0.000005
0.329728,0.000005
0.330240,0.000005
0.330752,-0.000005
0.331264,-0.000005
0.331776,-0.000010
0.332288,0.000000
0.332800,0.000000
0.333312,0.000005
0.333824,0.000005
0.334336,0.000005
0.334848,0.000005
0.335360,0.000000
0.335872,-0.000005
0.336384,-0.000005
0.336896,0.000000
0.337408,0.000005
0.337920,0.000005
0.338432,0.000005
0.338944,0.000005
0.339456,0.000000
0.339968,0.000000
0.340480,0.000000
0.340992,0.000000
0.341504,0.000000
0.342016,0.000000
0.342528,0.000000
0.343040,-0.000005
0.343552,-0.000005
0.344064,0.000000
0.344576,0.000000
0.345088,0.000000
0.345600,0.000005
0.346112,0.000005
0.346624,0.000005
0.347136,0.000005
0.347648,0.000005
0.348160,0.000000
0.348672,0.000000
0.349184,0.000005
0.349696,0.000000
0.350208,0.000000
0.350720,0.000005
0.351232,0.000005
0.351744,0.000010
0.352256,0.000005
0.352768,0.000005
0.353280,0.000005
0.353792,0.000010
0.354304,0.000005
0.354816,0.000005
0.355328,0.000005
0.355840,0.000005
0.356352,0.000005
0.356864,0.000005
0.357376,0.000005
0.357888,0.000000
0.358400,0.000000
0.358912,0.000000
0.359424,0.000000
0.359936,0.000000
0.360448,0.000005
0.360960,0.000005
0.361472,0.000000
0.361984,0.000000
0.362496,0.000000
0.363008,0.000005
0.363520,0.000005
0.364032,0.000005
0.364544,0.000005
0.365056,0.000005
0.365568,0.000000
0.366080,0.000000
0.366592,0.000000
0.367104,0.000000
0.367616,0.000000
0.368128,0.000000
0.368640,-0.000005
0.369152,0.000000
0.369664,0.000000
0.370176,0.000000
0.370688,0.000000
0.371200,0.000000
0.371712,0.000000
0.372224,-0.000005
0.372736,-0.000005
0.373248,0.000005
0.373760,0.000005
0.374272,0.000000
0.374784,0.000000
0.375296,0.000000
0.375808,0.000005
0.376320,0.000005
0.376832,0.000005
0.377344,0.000000
0.377856,0.000000
0.378368,0.000000
0.378880,0.000000
0.379392,0.000000
0.379904,-0.000005
0.380416,-0.000005
0.380928,-0.000005
0.381440,0.000000
0.381952,0.000005
0.382464,0.000005
0.382976,0.000005
0.383488,0.000000
0.384000,0.000000
0.384512,0.000000
0.385024,0.000000
0.385536,0.000000
0.386048,0.000000
0.386560,0.000005
0.387072,0.000005
0.387584,-0.000005
0.388096,-0.000005
0.388608,-0.000005
0.389120,-0.000005
0.389632,0.000000
0.390144,0.000000
0.390656,0.000005
0.391168,0.000000
0.391680,-0.000005
0.392192,-0.000005
0.392704,-0.000005
0.393216,0.000000
0.393728,0.000000
0.394240,0.000000
0.394752,0.000000
0.395264,-0.000005
0.395776,-0.000005
0.396288,0.000000
0.396800,-0.000005
0.397312,0.000000
0.397824,0.000005
0.398336,0.000005
0.398848,0.000005
0.399360,0.000000
0.399872,-0.000005
0.400384,-0.000005
0.400896,-0.000005
0.401408,0.000000
0.401920,0.000000
0.402432,0.000000
0.402944,0.000005
0.403456,0.000000
0.403968,-0.000005
0.404480,-0.000005
0.404992,-0.000005
0.405504,0.000000
0.406016,0.000000
0.406528,0.000005
0.407040,0.000000
0.407552,0.000000
0.408064,-0.000010
0.408576,-0.000010
0.409088,-0.000005
0.409600,-0.000005
0.410112,0.000000
0.410624,0.000000
0.411136,0.000000
0.411648,-0.000010
0.412160,-0.000010
0.412672,-0.000010
0.413184,-0.000005
0.413696,-0.000005
0.414208,-0.000005
0.414720,0.000000
0.415232,-0.000005
0.415744,-0.000005
0.416256,-0.000005
0.416768,-0.000005
0.417280,-0.000005
0.417792,-0.000005
0.418304,-0.000005
0.418816,-0.000005
0.419328,-0.000010
0.419840,-0.000010
0.420352,-0.000005
0.420864,-0.000005
0.421376,-0.000005
0.421888,0.000000
0.422400,0.000000
0.422912,0.000000
0.423424,-0.000005
0.423936,-0.000010
0.424448,-0.000015
0.424960,-0.000010
0.425472,0.000000
0.425984,0.000000
0.426496,0.000005
0.427008,0.000005
0.427520,-0.000005
0.428032,-0.000005
0.428544,0.000000
0.429056,0.000000
0.429568,0.000000
0.430080,0.000005
0.430592,0.000000
0.431104,0.000000
0.431616,-0.000005
0.432128,-0.000005
0.432640,0.000000
0.433152,0.000005
0.433664,0.000010
0.434176,0.000010
0.434688,0.000010
0.435200,0.000005
0.435712,-0.000005
0.436224,0.000000
0.436736,0.000005
0.437248,0.000005
0.437760,0.000005
0.438272,0.000005
0.438784,0.000000
0.439296,0.000000
0.439808,0.000000
0.440320,0.000000
0.440832,0.000000
0.441344,0.000005
0.441856,0.000005
0.442368,0.000005
0.442880,0.000005
0.443392,0.000000
0.443904,0.000000
0.444416,0.000000
0.444928,0.000000
0.445440,0.000000
0.445952,0.000000
0.446464,0.000000
0.446976,0.000000
0.447488,-0.000005
0.448000,-0.000005
0.448512,-0.000005
0.449024,-0.000005
0.449536,-0.000005
0.450048,0.000005
0.450560,0.000000
0.451072,0.000000
0.451584,-0.000010
0.452096,-0.000010
0.452608,-0.000010
0.453120,0.000000
0.453632,0.000000
0.454144,0.000000
0.454656,0.000000
0.455168,0.000000
0.455680,-0.000005
0.456192,-0.000005
0.456704,-0.000005
0.457216,-0.000005
0.457728,0.000000
0.458240,0.000000
0.458752,0.000000
0.459264,-0.000005
0.459776,-0.000005
0.460288,-0.000010
0.460800,0.000000
0.461312,0.000000
0.461824,0.000000
0.462336,0.000000
0.462848,0.000000
0.463360,-0.000005
0.463872,-0.000005
0.464384,-0.000005
0.464896,0.000000
0.465408,0.000010
0.465920,0.000010
0.466432,0.000010
0.466944,0.000005
0.467456,0.000005
0.467968,0.000005
0.468480,0.000005
0.468992,0.000005
0.469504,0.000010
0.470016,0.000010
0.470528,0.000005
0.471040,0.000005
0.471552,0.000010
0.472064,0.000010
0.472576,0.000010
0.473088,0.000005
0.473600,0.000005
0.474112,0.000005
0.474624,0.000005
0.475136,0.000005
0.475648,0.000005
0.476160,0.000005
0.476672,0.000005
0.477184,0.000005
0.477696,0.000005
0.478208,0.000005
0.478720,0.000005
0.479232,0.000005
0.479744,0.000005
0.480256,0.000000
0.480768,0.000000
0.481280,0.000000
0.481792,0.000000
0.482304,0.000000
0.482816,0.000000
0.483328,0.000000
0.483840,-0.000005
0.484352,-0.000005
0.484864,-0.000005
0.485376,0.000000
0.485888,0.000000
0.486400,0.000000
0.486912,0.000000
0.487424,0.000000
0.487936,-0.000010
0.488448,-0.000010
0.488960,-0.000005
0.489472,0.000000
0.489984,0.000005
0.490496,0.000005
0.491008,-0.000005
0.491520,-0.000015
0.492032,-0.000010
0.492544,-0.000005
0.493056,0.000005
0.493568,0.000005
0.494080,0.000000
0.494592,0.000000
0.495104,-0.000010
0.495616,-0.000005
0.496128,-0.000005
0.496640,0.000000
0.497152,0.000005
0.497664,0.000005
0.498176,0.000005
0.498688,-0.000005
0.499200,-0.000010
0.499712,-0.000005
0.500224,0.000000
0.500736,0.000015
0.501248,0.000015
0.501760,0.000005
0.502272,-0.000005
0.502784,-0.000010
0.503296,-0.000005
0.503808,0.000000
0.504320,0.000005
0.504832,0.000005
0.505344,0.000005
0.505856,0.000000
0.506368,-0.000005
0.506880,-0.000005
0.507392,0.000005
0.507904,0.000010
0.508416,0.000015
0.508928,0.000010
0.509440,0.000010
0.509952,0.000000
0.510464,-0.000005
0.510976,0.000000
0.511488,0.000000
0.512000,0.000005
0.512512,0.000005
0.513024,0.000005
0.513536,-0.000005
0.514048,-0.000005
0.514560,-0.000010
0.515072,0.000000
0.515584,0.000010
0.516096,0.000010
0.516608,0.000005
0.517120,-0.000005
0.517632,-0.000005
0.518144,-0.000005
0.518656,-0.000005
0.519168,0.000000
0.519680,0.000005
0.520192,0.000005
0.520704,0.000005
0.521216,-0.000005
0.521728,-0.000005
0.522240,-0.000005
0.522752,-0.000005
0.523264,0.000000
0.523776,0.000010
0.524288,0.000010
0.524800,0.000000
0.525312,-0.000005
0.525824,-0.000010
0.526336,-0.000005
0.526848,0.000005
0.527360,0.000005
0.527872,0.000005
0.528384,0.000000
0.528896,-0.000010
0.529408,-0.000010
0.529920,-0.000010
0.530432,-0.000005
0.530944,0.000000
0.531456,0.000000
0.531968,0.000000
0.532480,-0.000005
0.532992,-0.000015
0.533504,-0.000015
0.534016,-0.000005
0.534528,0.000000
0.535040,0.000010
0.535552,0.000010
0.536064,0.000000
0.536576,-0.000005
0.537088,-0.000010
0.537600,-0.000010
0.538112,0.000000
0.538624,0.000000
0.539136,0.000005
0.539648,0.000005
0.540160,0.000000
0.540672,0.000000
0.541184,-0.000010
0.541696,0.000000
0.542208,0.000000
0.542720,0.000005
0.543232,0.000010
0.543744,0.000005
0.544256,-0.000005
0.544768,-0.000010
0.545280,-0.000005
0.545792,-0.000005
0.546304,0.000010
0.546816,0.000010
0.547328,0.000010
0.547840,0.000000
0.548352,0.000000
0.548864,0.000000
0.549376,0.000000
0.549888,0.000000
0.550400,0.000000
0.550912,0.000000
0.551424,0.000000
0.551936,0.000000
0.552448,0.000000
0.552960,0.000000
0.553472,-0.000005
0.553984,-0.000005
0.554496,-0.000005
0.555008,0.000005
0.555520,0.000010
0.556032,0.000010
0.556544,0.000005
0.557056,0.000005
0.557568,0.000005
0.558080,0.000000
0.558592,0.000000
0.559104,0.000000
0.559616,0.000000
0.560128,0.000000
0.560640,0.000000
0.561152,0.000000
0.561664,-0.000005
0.562176,-0.000005
0.562688,0.000000
0.563200,0.000000
0.563712,0.000000
0.564224,0.000000
0.564736,0.000000
0.565248,0.000000
0.565760,-0.000005
0.566272,-0.000005
0.566784,-0.000005
0.567296,0.000000
0.567808,0.000000
0.568320,0.000000
0.568832,0.000000
0.569344,0.000000
0.569856,-0.000005
0.570368,-0.000015
0.570880,-0.000010
0.571392,-0.000005
0.571904,0.000000
0.572416,0.000000
0.572928,0.000000
0.573440,0.000000
0.573952,0.000000
0.574464,-0.000005
0.574976,-0.000005
0.575488,-0.000005
0.576000,0.000000
0.576512,0.000000
0.577024,0.000000
0.577536,0.000000
0.578048,0.000000
0.578560,-0.000005
0.579072,-0.000005
0.579584,0.000000
0.580096,0.000005
0.580608,0.000005
0.581120,0.000005
0.581632,0.000005
0.582144,0.000005
0.582656,0.000005
0.583168,0.000000
0.583680,0.000000
0.584192,0.000000
0.584704,0.000005
0.585216,0.000010
0.585728,0.000010
0.586240,0.000005
0.586752,0.000005
0.587264,-0.000005
0.587776,0.000000
0.588288,0.000005
0.588800,0.000010
0.589312,0.000010
0.589824,0.000010
0.590336,0.000005
0.590848,0.000005
0.591360,0.000000
0.591872,0.000000
0.592384,0.000000
0.592896,0.000000
0.593408,0.000005
0.593920,0.000005
0.594432,0.000005
0.594944,0.000005
0.595456,0.000000
0.595968,0.000000
0.596480,0.000000
0.596992,0.000010
0.597504,0.000010
0.598016,0.000005
0.598528,0.000000
0.599040,0.000000
0.599552,-0.000005
0.600064,-0.000005
0.600576,-0.000005
0.601088,0.000000
0.601600,0.000000
0.602112,0.000005
0.602624,0.000005
0.603136,0.000000
0.603648,-0.000010
0.604160,-0.000005
0.604672,-0.000005
0.605184,0.000000
0.605696,0.000000
0.606208,0.000000
0.606720,-0.000005
0.607232,-0.000005
0.607744,-0.000005
0.608256,-0.000005
0.608768,0.000000
0.609280,0.000000
0.609792,0.000000
0.610304,0.000000
0.610816,-0.000005
0.611328,-0.000010
0.611840,-0.000010
0.612352,-0.000005
0.612864,0.000000
0.613376,0.000000
0.613888,0.000000
0.614400,0.000000
0.614912,-0.000010
0.615424,-0.000010
0.615936,-0.000005
0.616448,0.000000
0.616960,0.000005
0.617472,0.000005
0.617984,0.000005
0.618496,0.000000
0.619008,-0.000005
0.619520,-0.000005
0.620032,-0.000005
0.620544,0.000000
0.621056,0.000010
0.621568,0.000010
0.622080,0.000000
0.622592,0.000000
0.623104,0.000000
0.623616,0.000000
0.624128,0.000000
0.624640,0.000000
0.625152,0.000000
0.625664,0.000000
0.626176,0.000000
0.626688,-0.000005
0.627200,-0.000005
0.627712,-0.000005
0.628224,0.000000
0.628736,0.000000
0.629248,0.000000
0.629760,-0.000005
0.630272,-0.000005
0.630784,-0.000005
0.631296,0.000000
0.631808,0.000000
0.632320,0.000000
0.632832,0.000000
0.633344,0.000000
0.633856,-0.000005
0.634368,-0.000005
0.634880,-0.000005
0.635392,-0.000005
0.635904,0.000000
0.636416,0.000000
0.636928,0.000005
0.637440,0.000005
0.637952,-0.000010
0.638464,-0.000015
0.638976,-0.000015
0.639488,-0.000010
0.640000,-0.000005
0.640512,-0.000005
0.641024,-0.000005
0.641536,-0.000010
0.642048,-0.000010
0.642560,-0.000010
0.643072,-0.000005
0.643584,0.000000
0.644096,0.000000
0.644608,-0.000005
0.645120,-0.000005
0.645632,-0.000010
0.646144,0.000000
0.646656,0.000000
0.647168,0.000000
0.647680,0.000000
0.648192,0.000000
0.648704,-0.000005
0.649216,-0.000010
0.649728,-0.000010
0.650240,-0.000005
0.650752,0.000000
0.651264,0.000000
0.651776,0.000000
0.652288,0.000000
0.652800,0.000000
0.653312,0.000000
0.653824,0.000000
0.654336,0.000000
0.654848,0.000005
0.655360,0.000005
0.655872,0.000005
0.656384,0.000005
0.656896,0.000005
0.657408,0.000000
0.657920,0.000000
0.658432,0.000000
0.658944,0.000000
0.659456,0.000000
0.659968,0.000000
0.660480,0.000000
0.660992,0.000000
0.661504,0.000000
0.662016,0.000000
0.662528,0.000000
0.663040,0.000000
0.663552,0.000000
0.664064,0.000000
0.664576,0.000000
0.665088,0.000000
0.665600,0.000000
0.666112,0.000000
0.666624,0.000005
0.667136,0.000010
0.667648,0.000010
0.668160,0.000010
0.668672,0.000005
0.669184,-0.000015
0.669696,-0.000010
0.670208,0.000000
0.670720,0.000005
0.671232,0.000010
0.671744,0.000005
0.672256,-0.000005
0.672768,-0.000005
0.673280,-0.000005
0.673792,-0.000005
0.674304,0.000005
0.674816,0.000010
0.675328,0.000010
0.675840,0.000010
0.676352,0.000000
0.676864,0.000000
0.677376,0.000000
0.677888,0.000000
0.678400,0.000005
0.678912,0.000005
0.679424,0.000005
0.679936,0.000005
0.680448,0.000000
0.680960,0.000000
0.681472,0.000000
0.681984,0.000000
0.682496,0.000005
0.683008,0.000005
0.683520,0.000005
0.684032,0.000000
0.684544,0.000000
0.685056,0.000000
0.685568,0.000005
0.686080,0.000015
0.686592,0.000010
0.687104,0.000010
0.687616,0.000000
0.688128,0.000005
0.688640,0.000005
0.689152,0.000005
0.689664,0.000005
0.690176,0.000005
0.690688,0.000005
0.691200,0.000005
0.691712,0.000005
